policy_number,incident_date,incident_type,collision_type,incident_severity,total_claim_amount,injury_claim,property_claim,vehicle_claim,fraud_reported
897183,7/3/19 20:05,Multi-vehicle Collision,Rear Collision,Total Loss,19048,4302,2107,12598,N
876037,8/9/21 5:14,Parked Car,?,Trivial Damage,3220,577,576,2018,N
108641,3/16/16 7:05,Single Vehicle Collision,Front Collision,Minor Damage,56460,11355,11279,33565,
694544,12/30/17 2:52,Vehicle Theft,?,Minor Damage,7487,741,1508,5202,N
743294,9/22/23 21:58,Multi-vehicle Collision,Front Collision,Major Damage,70322,5856,11656,51521,N
132141,2/26/20 17:59,Multi-vehicle Collision,Rear Collision,Minor Damage,62193,6270,12642,43724,N
918116,1/24/21 1:28,Multi-vehicle Collision,Front Collision,Minor Damage,28589,3147,3163,22502,N
894814,8/9/17 15:37,Multi-vehicle Collision,Front Collision,Total Loss,72608,14203,14537,43800,N
318677,3/6/19 16:57,Multi-vehicle Collision,Side Collision,Total Loss,64528,0,14523,49587,N
876100,5/7/24 0:42,Vehicle Theft,?,Minor Damage,9181,1380,1394,6371,N
592065,9/28/22 2:03,Single Vehicle Collision,Front Collision,Major Damage,73985,7446,7467,58594,Y
936027,6/3/18 3:05,Vehicle Theft,?,Trivial Damage,2734,303,309,2101,N
435716,2/16/20 7:11,Multi-vehicle Collision,Front Collision,Major Damage,47910,5964,6042,35604,Y
541250,5/27/17 10:55,Single Vehicle Collision,Front Collision,Total Loss,42862,3536,7158,32154,N
445526,2/9/21 18:45,Single Vehicle Collision,Rear Collision,Total Loss,58557,11891,5759,40071,N
191079,7/5/19 5:31,Multi-vehicle Collision,Side Collision,Total Loss,67947,11337,11317,44451,N
679883,5/6/21 19:40,Vehicle Theft,?,Minor Damage,5666,1116,566,3940,N
649966,8/15/18 6:41,Multi-vehicle Collision,Rear Collision,Total Loss,59462,4686,9442,46740,Y
613132,1/9/18 13:40,Multi-vehicle Collision,Side Collision,Major Damage,51396,9252,4706,37884,Y
685329,6/8/16 5:51,Single Vehicle Collision,Front Collision,Major Damage,83972,6839,13831,61999,
339055,8/12/23 2:45,Single Vehicle Collision,Side Collision,Minor Damage,56478,5573,11472,39122,N
170911,2/8/16 8:55,Single Vehicle Collision,Side Collision,Minor Damage,59220,10029,10113,39166,
308663,4/23/19 1:55,Parked Car,?,Minor Damage,3824,574,588,2605,N
927465,10/1/17 5:59,Vehicle Theft,?,Minor Damage,7359,665,694,6008,N
605301,1/7/17 10:11,Single Vehicle Collision,Front Collision,Major Damage,45515,8347,8070,28824,Y
445400,2/20/22 23:35,Single Vehicle Collision,Side Collision,Major Damage,69944,7000,7103,56850,Y
803880,7/6/24 15:21,Multi-vehicle Collision,Rear Collision,Minor Damage,70536,12680,12750,45403,N
448015,1/18/24 15:39,Single Vehicle Collision,Side Collision,Major Damage,69643,7002,7122,55725,Y
600857,12/21/17 18:13,Single Vehicle Collision,Front Collision,Major Damage,45518,8197,8310,28755,Y
507167,5/31/16 5:34,Single Vehicle Collision,Side Collision,Total Loss,75186,13557,13894,47785,
176538,7/3/19 11:43,Single Vehicle Collision,Rear Collision,Total Loss,70699,12585,6418,50806,Y
354907,10/19/21 6:41,Single Vehicle Collision,Side Collision,Minor Damage,90084,13870,14011,62301,Y
807345,10/14/16 18:42,Single Vehicle Collision,Rear Collision,Total Loss,84601,21054,7078,56319,
616482,10/17/22 5:51,Multi-vehicle Collision,Side Collision,Major Damage,51866,9299,4643,37691,Y
943470,11/12/20 6:13,Multi-vehicle Collision,Side Collision,Minor Damage,44012,4895,4942,34263,N
565729,4/19/18 4:38,Single Vehicle Collision,Side Collision,Major Damage,84646,21075,13873,48902,Y
738548,9/22/20 18:00,Parked Car,?,Trivial Damage,8776,1708,882,6159,N
204234,2/12/16 13:14,Single Vehicle Collision,Rear Collision,Minor Damage,66720,10150,10328,46774,
634801,1/15/16 8:04,Parked Car,?,Minor Damage,7245,1115,1130,4950,
429045,11/11/21 23:10,Parked Car,?,Trivial Damage,5695,1262,634,3791,N
680019,5/22/17 13:53,Single Vehicle Collision,Front Collision,Major Damage,83103,6811,13945,62570,N
356412,10/6/21 17:44,Single Vehicle Collision,Front Collision,Major Damage,90447,14011,14276,62779,N
929536,2/2/23 22:11,Single Vehicle Collision,Front Collision,Total Loss,62404,6834,6949,47142,N
497898,3/28/23 5:16,Single Vehicle Collision,Rear Collision,Minor Damage,76568,7575,7795,61821,N
796827,11/11/17 0:06,Multi-vehicle Collision,Rear Collision,Total Loss,51194,7872,7812,35197,N
271412,12/13/19 12:13,Multi-vehicle Collision,Side Collision,Total Loss,43998,5569,5520,32972,N
802814,4/16/19 11:04,Single Vehicle Collision,Side Collision,Minor Damage,31075,3096,6090,21321,N
113627,4/21/20 18:52,Single Vehicle Collision,Rear Collision,Major Damage,62057,5666,5708,50689,N
774888,4/23/16 6:19,Single Vehicle Collision,Rear Collision,Major Damage,49080,9666,4957,33824,
799651,6/2/19 20:02,Single Vehicle Collision,Side Collision,Major Damage,59616,11838,5863,41823,N
829316,1/19/22 14:06,Multi-vehicle Collision,Rear Collision,Total Loss,65393,5892,12055,49127,N
930845,11/18/17 7:40,Single Vehicle Collision,Rear Collision,Total Loss,87707,16002,15859,55391,N
155214,5/6/19 15:57,Single Vehicle Collision,Rear Collision,Minor Damage,81911,13612,13284,54429,N
968303,3/7/24 18:25,Vehicle Theft,?,Trivial Damage,3167,287,588,2289,N
360341,3/9/18 2:09,Multi-vehicle Collision,Front Collision,Major Damage,37226,4132,4159,29054,N
969134,6/28/23 21:02,Single Vehicle Collision,Rear Collision,Major Damage,71161,0,7889,63619,Y
637365,3/31/17 7:53,Multi-vehicle Collision,Rear Collision,Total Loss,65501,10873,10990,43966,N
436583,2/16/17 3:14,Single Vehicle Collision,Front Collision,Minor Damage,28307,2809,5670,19940,N
359079,12/30/16 1:33,Single Vehicle Collision,Front Collision,Major Damage,90376,14134,13894,63020,N
438125,2/4/23 7:37,Single Vehicle Collision,Side Collision,Major Damage,70917,6927,6970,56029,Y
905758,4/27/23 4:14,Multi-vehicle Collision,Rear Collision,Total Loss,19280,4234,2147,12697,N
586147,3/11/20 16:23,Multi-vehicle Collision,Side Collision,Total Loss,64822,7274,7174,49274,N
108968,1/8/20 15:13,Single Vehicle Collision,Front Collision,Minor Damage,56878,11069,11247,34060,N
786392,12/9/23 22:37,Single Vehicle Collision,Rear Collision,Major Damage,49231,9893,4877,34387,Y
553977,3/19/21 1:16,Vehicle Theft,?,Minor Damage,4622,839,826,2940,Y
925606,5/2/17 17:22,Multi-vehicle Collision,Side Collision,Major Damage,53128,4428,8883,39958,Y
891400,12/13/20 14:37,Multi-vehicle Collision,Side Collision,Minor Damage,56237,6247,12559,37683,N
448774,1/7/23 10:49,Single Vehicle Collision,Rear Collision,Total Loss,58586,11903,5862,41136,N
236278,12/18/15 11:16,Multi-vehicle Collision,Rear Collision,Minor Damage,66236,7244,7162,50851,
630582,3/17/16 8:09,Multi-vehicle Collision,Side Collision,Major Damage,58067,10694,5293,42345,
932628,1/2/18 6:06,Multi-vehicle Collision,Side Collision,Minor Damage,43814,4928,5009,34572,N
801462,3/18/23 19:33,Multi-vehicle Collision,Front Collision,Minor Damage,68157,6743,6715,54564,N
384568,5/16/22 23:26,Multi-vehicle Collision,Rear Collision,Total Loss,61410,5656,11501,45884,N
341037,7/17/21 13:50,Single Vehicle Collision,Front Collision,Total Loss,61196,9323,9155,41687,N
151755,8/15/23 22:43,Multi-vehicle Collision,Front Collision,Total Loss,62281,6902,6808,48186,N
214780,9/23/17 14:03,Single Vehicle Collision,Side Collision,Major Damage,52856,6005,5980,41928,Y
900372,4/12/24 23:52,Multi-vehicle Collision,Front Collision,Total Loss,71913,14570,14358,44171,N
527341,4/13/20 1:52,Multi-vehicle Collision,Rear Collision,Minor Damage,73465,13257,6503,53560,N
865543,7/11/22 8:41,Multi-vehicle Collision,Side Collision,Total Loss,56693,6401,6353,44269,N
912963,2/28/22 15:30,Single Vehicle Collision,Front Collision,Total Loss,56286,5743,5633,45231,N
493292,8/25/17 16:10,Multi-vehicle Collision,Rear Collision,Minor Damage,53222,5843,5902,41489,N
146595,5/30/23 6:26,Multi-vehicle Collision,Side Collision,Minor Damage,71675,5943,11930,54378,N
646552,5/22/23 22:52,Multi-vehicle Collision,Rear Collision,Total Loss,60208,4596,9168,46045,Y
537008,1/19/24 16:44,Single Vehicle Collision,Front Collision,Total Loss,86239,7708,15853,63678,N
937507,5/24/19 10:19,Multi-vehicle Collision,Rear Collision,Major Damage,64143,5787,11458,45590,Y
647286,2/27/16 21:05,Single Vehicle Collision,Rear Collision,Minor Damage,53624,5396,5428,43369,
109491,2/27/17 15:07,Single Vehicle Collision,Front Collision,Minor Damage,56769,11126,11273,33859,N
868058,2/20/24 9:30,Single Vehicle Collision,Side Collision,Major Damage,52900,6549,6497,39507,Y
117606,5/19/20 7:19,Vehicle Theft,?,Trivial Damage,7477,678,680,6135,N
714023,10/22/23 12:34,Single Vehicle Collision,Rear Collision,Minor Damage,54672,6833,6717,40839,N
869388,10/20/16 8:28,Multi-vehicle Collision,Side Collision,Total Loss,58846,6333,6376,43105,
907158,3/13/16 20:33,Multi-vehicle Collision,Front Collision,Major Damage,68605,12481,12496,44018,
561748,7/25/22 23:48,Multi-vehicle Collision,Rear Collision,Minor Damage,57486,11634,5590,40300,N
233869,2/4/16 4:36,Single Vehicle Collision,Side Collision,Major Damage,52368,4725,9426,38800,
449421,4/18/17 10:36,Single Vehicle Collision,Rear Collision,Total Loss,58706,11779,5859,41123,N
950790,11/26/22 7:15,Multi-vehicle Collision,Side Collision,Major Damage,80355,13410,13368,53321,N
835850,2/14/16 23:45,Single Vehicle Collision,Rear Collision,Total Loss,70755,7169,14156,49053,
117579,7/5/24 14:16,Multi-vehicle Collision,Rear Collision,Major Damage,47623,4798,9575,34189,Y
780134,10/20/22 0:44,Vehicle Theft,?,Trivial Damage,4692,849,870,3021,Y
881401,11/21/16 9:35,Multi-vehicle Collision,Side Collision,Major Damage,77566,12991,13035,51320,
330941,9/12/17 18:54,Single Vehicle Collision,Front Collision,Minor Damage,48759,8064,8037,32328,N
430715,1/12/22 23:15,Multi-vehicle Collision,Front Collision,Major Damage,47271,6065,5913,35868,Y
925358,8/26/16 7:34,Multi-vehicle Collision,Front Collision,Total Loss,72819,14814,14645,43710,
484541,11/5/20 7:01,Multi-vehicle Collision,Side Collision,Major Damage,68869,12250,6178,49479,Y
137111,10/3/21 14:29,Single Vehicle Collision,Side Collision,Major Damage,78367,13276,6602,60668,Y
590289,1/20/23 16:30,Multi-vehicle Collision,Side Collision,Total Loss,62901,7165,7031,50708,N
349835,9/18/16 7:20,Single Vehicle Collision,Rear Collision,Major Damage,71225,7068,14107,49817,
537604,7/16/22 14:05,Multi-vehicle Collision,Front Collision,Minor Damage,85069,12864,13131,58874,N
212657,8/3/20 14:10,Single Vehicle Collision,Side Collision,Major Damage,53768,6017,6008,41307,Y
624810,8/30/21 2:51,Multi-vehicle Collision,Front Collision,Total Loss,50355,4580,4531,40973,N
884794,6/29/22 12:26,Multi-vehicle Collision,Side Collision,Major Damage,62317,10485,10711,42052,Y
826544,10/15/20 9:25,Multi-vehicle Collision,Side Collision,Minor Damage,41475,5205,5218,30941,N
905946,2/11/23 23:32,Single Vehicle Collision,Front Collision,Total Loss,54462,5576,5601,44502,N
439806,1/17/18 22:18,Multi-vehicle Collision,Side Collision,Total Loss,65311,7312,14111,43108,N
521513,6/19/16 1:00,Single Vehicle Collision,Front Collision,Major Damage,62955,10654,10643,42726,
753073,7/9/17 23:56,Multi-vehicle Collision,Rear Collision,Minor Damage,32356,4001,4059,24250,N
706331,3/14/19 0:31,Vehicle Theft,?,Trivial Damage,4412,0,547,3834,N
593451,11/18/19 1:56,Single Vehicle Collision,Front Collision,Major Damage,73772,7363,7315,58963,Y
430374,10/26/22 7:12,Parked Car,?,Trivial Damage,5624,1248,634,3739,N
619104,8/8/16 13:13,Single Vehicle Collision,Front Collision,Major Damage,49612,10051,4989,35698,
857466,1/16/24 13:30,Parked Car,?,Minor Damage,6208,561,1109,4537,N
471833,3/14/16 4:55,Single Vehicle Collision,Rear Collision,Minor Damage,86555,15691,15864,54707,
207996,8/6/21 10:22,Single Vehicle Collision,Front Collision,Major Damage,44384,8002,4002,32485,Y
609449,12/4/18 17:54,Single Vehicle Collision,Front Collision,Major Damage,73392,7354,7417,59605,Y
275671,2/21/20 12:35,Single Vehicle Collision,Side Collision,Total Loss,77468,14367,7091,56045,N
578938,7/8/22 13:48,Multi-vehicle Collision,Front Collision,Major Damage,76696,13868,14093,49109,N
931489,12/22/15 15:35,Single Vehicle Collision,Rear Collision,Total Loss,87678,15993,15904,56612,
758531,6/6/19 16:00,Multi-vehicle Collision,Rear Collision,Minor Damage,32364,3985,4037,24238,N
368408,1/12/16 21:33,Multi-vehicle Collision,Rear Collision,Minor Damage,80038,16383,8162,57268,
755487,5/18/21 15:55,Single Vehicle Collision,Front Collision,Major Damage,68394,8476,0,59074,Y
267641,8/25/22 7:07,Multi-vehicle Collision,Front Collision,Major Damage,55360,6894,0,47421,Y
597076,6/26/23 18:52,Multi-vehicle Collision,Rear Collision,Total Loss,68219,11264,11367,44948,N
429537,9/24/16 5:27,Vehicle Theft,?,Minor Damage,6070,1016,1019,4097,
691570,5/24/16 6:22,Multi-vehicle Collision,Rear Collision,Total Loss,54204,5441,10616,38093,
633234,1/18/23 22:42,Parked Car,?,Trivial Damage,6791,624,1239,4947,N
357129,9/20/22 1:46,Single Vehicle Collision,Front Collision,Major Damage,90848,14092,14273,63636,N
349582,5/15/23 23:40,Single Vehicle Collision,Rear Collision,Total Loss,58396,10666,10527,36746,N
907224,6/16/17 7:27,Multi-vehicle Collision,Side Collision,Major Damage,75769,12820,12702,50636,N
235720,12/31/17 20:40,Single Vehicle Collision,Side Collision,Major Damage,52368,4787,9576,38708,Y
746322,9/16/19 9:08,Multi-vehicle Collision,Rear Collision,Minor Damage,78820,7846,7959,63906,N
995948,9/16/17 6:30,Multi-vehicle Collision,Side Collision,Total Loss,88304,17400,8837,63693,N
933285,6/10/18 2:17,Multi-vehicle Collision,Rear Collision,Major Damage,63048,5751,11464,44956,Y
140557,5/12/18 4:24,Single Vehicle Collision,Front Collision,Total Loss,85147,13066,12890,58427,N
573318,6/21/24 15:52,Multi-vehicle Collision,Rear Collision,Minor Damage,56966,11476,5683,40421,N
328732,9/29/16 10:51,Single Vehicle Collision,Front Collision,Minor Damage,48360,7934,8055,32253,
593176,7/17/16 14:32,Single Vehicle Collision,Rear Collision,Minor Damage,60181,12207,6021,42716,
528189,3/27/19 22:55,Single Vehicle Collision,Front Collision,Minor Damage,89881,14993,15077,60306,N
753474,7/11/16 16:25,Single Vehicle Collision,Front Collision,Major Damage,105632,18956,19092,65499,
655400,2/10/17 5:07,Single Vehicle Collision,Rear Collision,Minor Damage,53893,5476,5433,43804,N
722655,8/25/23 0:05,Vehicle Theft,?,Trivial Damage,3604,409,398,2761,N
753005,7/27/22 9:14,Multi-vehicle Collision,Rear Collision,Minor Damage,79914,7940,7904,62131,N
413198,8/4/23 10:50,Single Vehicle Collision,Side Collision,Total Loss,45376,9080,4581,31513,N
420435,11/22/22 11:17,Single Vehicle Collision,Rear Collision,Minor Damage,79294,15517,7931,56269,N
802644,1/16/17 11:33,Single Vehicle Collision,Side Collision,Minor Damage,100794,15632,15470,70501,N
939297,11/29/19 22:11,Multi-vehicle Collision,Side Collision,Minor Damage,43831,4849,4941,34865,N
840214,4/7/21 5:04,Multi-vehicle Collision,Front Collision,Minor Damage,47296,4247,8599,33853,N
672892,6/10/19 3:36,Vehicle Theft,?,Minor Damage,5656,1117,556,3948,N
874689,7/6/24 23:43,Multi-vehicle Collision,Front Collision,Minor Damage,97565,16054,15742,64528,N
427339,1/29/21 15:13,Multi-vehicle Collision,Front Collision,Major Damage,47879,5941,5971,35693,Y
401777,9/25/22 15:31,Multi-vehicle Collision,Front Collision,Major Damage,32397,5342,5410,21275,Y
285026,10/28/22 1:00,Single Vehicle Collision,Side Collision,Total Loss,56830,5651,5849,46396,N
719418,7/30/23 13:48,Single Vehicle Collision,Rear Collision,Major Damage,94324,16768,8397,67042,Y
776789,12/23/21 18:23,Vehicle Theft,?,Minor Damage,5644,864,863,3837,N
512702,10/19/20 22:05,Vehicle Theft,?,Minor Damage,9069,890,1807,6220,N
495485,9/11/16 8:08,Multi-vehicle Collision,Rear Collision,Minor Damage,52876,5818,5946,41031,
859508,8/25/20 21:12,Parked Car,?,Trivial Damage,3186,576,581,2055,N
198526,6/3/20 15:09,Single Vehicle Collision,Side Collision,Total Loss,61193,6251,6138,49474,N
609644,7/27/23 18:55,Multi-vehicle Collision,Front Collision,Total Loss,49700,4595,4611,40132,N
646880,12/14/16 0:59,Single Vehicle Collision,Side Collision,Major Damage,63315,6374,19498,38765,Y
154389,12/8/19 15:11,Parked Car,?,Minor Damage,6686,1195,1212,4280,N
315858,3/3/22 2:01,Parked Car,?,Minor Damage,3758,573,578,2630,N
267345,3/13/16 3:50,Single Vehicle Collision,Rear Collision,Minor Damage,55314,6144,12458,37652,
943467,4/28/18 22:43,Single Vehicle Collision,Side Collision,Major Damage,67089,6122,5981,54491,N
440436,2/28/17 7:50,Single Vehicle Collision,Rear Collision,Total Loss,101403,18750,18494,65570,N
155912,9/18/17 8:39,Multi-vehicle Collision,Rear Collision,Total Loss,44896,4885,4995,34845,N
624665,1/2/22 4:06,Single Vehicle Collision,Front Collision,Major Damage,59759,6006,11780,41443,N
361585,1/21/22 7:54,Parked Car,?,Trivial Damage,4994,913,446,3520,N
432522,12/17/18 23:35,Multi-vehicle Collision,Side Collision,Total Loss,45772,4534,4626,36152,N
232568,6/16/19 10:05,Single Vehicle Collision,Rear Collision,Total Loss,60985,5094,10097,44862,N
157021,6/25/24 20:11,Single Vehicle Collision,Rear Collision,Minor Damage,51285,9387,9298,32663,N
443069,2/27/20 10:42,Single Vehicle Collision,Rear Collision,Total Loss,59168,11825,5822,41320,N
725964,7/5/20 7:55,Multi-vehicle Collision,Side Collision,Total Loss,91786,14398,21529,56850,N
593674,4/7/22 14:45,Single Vehicle Collision,Rear Collision,Minor Damage,60934,12309,6019,42493,N
149907,10/22/19 14:34,Multi-vehicle Collision,Front Collision,Total Loss,61784,6796,6843,47238,N
571717,11/28/21 16:27,Multi-vehicle Collision,Front Collision,Major Damage,31360,2865,5684,23550,Y
377237,9/16/22 5:48,Multi-vehicle Collision,Rear Collision,Minor Damage,82625,16599,8100,58321,N
602150,3/4/22 19:49,Single Vehicle Collision,Side Collision,Minor Damage,73194,13199,6668,53414,N
369748,12/26/16 5:35,Multi-vehicle Collision,Rear Collision,Minor Damage,81718,16130,8203,57228,N
521573,3/14/22 22:16,Single Vehicle Collision,Front Collision,Major Damage,100584,7637,15377,76019,Y
711149,5/3/16 0:24,Vehicle Theft,?,Trivial Damage,4394,0,540,3912,
135078,9/19/21 7:44,Single Vehicle Collision,Rear Collision,Minor Damage,48475,4835,9488,33827,N
663481,7/13/17 11:32,Vehicle Theft,?,Minor Damage,5620,1118,554,3918,N
145106,2/1/24 5:42,Multi-vehicle Collision,Side Collision,Total Loss,28833,2953,5912,20498,N
427578,11/28/20 15:08,Parked Car,?,Trivial Damage,5706,1275,634,3806,N
989448,1/7/21 8:11,Multi-vehicle Collision,Side Collision,Total Loss,95786,8519,8576,77523,N
585895,7/9/23 7:50,Multi-vehicle Collision,Rear Collision,Minor Damage,56437,11467,5751,40380,N
155362,7/29/20 8:46,Multi-vehicle Collision,Rear Collision,Total Loss,44826,5022,5025,34885,N
945202,8/6/20 0:41,Parked Car,?,Trivial Damage,3161,396,396,2423,N
152377,8/16/19 0:44,Multi-vehicle Collision,Rear Collision,Total Loss,44416,5055,4942,35210,N
282136,4/29/21 3:45,Single Vehicle Collision,Side Collision,Total Loss,71209,7893,7918,55091,N
910967,8/4/22 17:53,Single Vehicle Collision,Front Collision,Minor Damage,77956,8504,8465,59977,N
171830,11/15/20 1:06,Single Vehicle Collision,Side Collision,Minor Damage,60095,9776,10101,39974,N
310879,5/9/18 17:53,Parked Car,?,Minor Damage,3780,589,581,2621,N
267026,4/29/23 6:23,Multi-vehicle Collision,Rear Collision,Major Damage,66091,9365,9454,46309,Y
635830,10/5/21 8:17,Parked Car,?,Minor Damage,7333,1104,1140,5087,N
799933,6/15/18 16:03,Single Vehicle Collision,Rear Collision,Minor Damage,39556,6562,6576,26250,N
525319,6/2/20 22:26,Multi-vehicle Collision,Side Collision,Major Damage,72468,12395,6043,54073,N
923442,1/2/24 23:27,Multi-vehicle Collision,Rear Collision,Total Loss,39169,4975,0,34958,N
587168,10/30/23 4:29,Vehicle Theft,?,Minor Damage,2230,249,248,1728,N
971595,3/28/20 9:40,Single Vehicle Collision,Rear Collision,Major Damage,59177,12204,6078,42450,Y
135644,4/17/17 17:53,Multi-vehicle Collision,Rear Collision,Minor Damage,62161,6366,12584,44034,N
783195,4/6/17 14:21,Single Vehicle Collision,Rear Collision,Major Damage,49393,9932,4941,33999,Y
231678,5/7/23 15:02,Single Vehicle Collision,Front Collision,Total Loss,42932,8532,0,33927,N
727782,8/13/23 12:12,Multi-vehicle Collision,Rear Collision,Minor Damage,59711,11929,12014,36165,N
144980,3/6/22 13:37,Multi-vehicle Collision,Side Collision,Total Loss,28885,2919,5974,20836,N
686715,8/7/18 23:08,Multi-vehicle Collision,Rear Collision,Minor Damage,53287,9477,9689,34115,N
425703,10/11/22 7:44,Multi-vehicle Collision,Side Collision,Total Loss,45699,4576,4554,36040,N
128818,9/14/17 12:42,Single Vehicle Collision,Side Collision,Major Damage,98762,8901,18006,70510,Y
356692,6/18/21 7:36,Single Vehicle Collision,Rear Collision,Total Loss,57722,10684,10375,37032,N
368506,2/20/19 10:11,Multi-vehicle Collision,Front Collision,Major Damage,37458,4182,4175,29206,N
786651,9/21/20 0:12,Multi-vehicle Collision,Rear Collision,Total Loss,51608,7778,7990,35443,N
871882,7/21/20 0:07,Parked Car,?,Minor Damage,7266,747,1481,5156,N
570627,7/13/23 20:31,Single Vehicle Collision,Front Collision,Major Damage,68118,6785,6682,53392,Y
932727,9/9/18 8:37,Parked Car,?,Trivial Damage,3211,395,405,2412,N
946682,7/20/21 8:43,Parked Car,?,Trivial Damage,3181,401,403,2407,N
369088,12/9/17 13:37,Multi-vehicle Collision,Rear Collision,Minor Damage,83081,16436,8201,57291,N
157200,2/28/23 0:06,Single Vehicle Collision,Rear Collision,Minor Damage,80874,13355,13169,53051,N
442541,11/19/19 11:23,Single Vehicle Collision,Front Collision,Total Loss,71207,7053,14275,49556,N
354179,7/4/20 23:34,Single Vehicle Collision,Rear Collision,Total Loss,58358,10765,10714,36720,N
576859,8/23/19 8:17,Multi-vehicle Collision,Side Collision,Major Damage,38874,3508,3520,31531,N
389648,8/29/16 10:49,Single Vehicle Collision,Side Collision,Total Loss,70271,6943,6925,55028,
688505,4/1/19 3:14,Multi-vehicle Collision,Rear Collision,Major Damage,52865,10800,10582,31819,Y
525818,9/20/20 15:51,Multi-vehicle Collision,Rear Collision,Total Loss,77516,0,14069,62121,N
636970,10/22/20 0:15,Parked Car,?,Minor Damage,7123,1126,1113,4999,N
779229,6/21/21 10:50,Single Vehicle Collision,Rear Collision,Total Loss,45346,5087,5024,34496,N
344907,11/4/18 10:35,Single Vehicle Collision,Side Collision,Minor Damage,55181,5695,11334,39102,N
682980,1/24/24 22:08,Single Vehicle Collision,Front Collision,Major Damage,84296,6932,13440,62564,N
508404,4/17/20 6:11,Single Vehicle Collision,Front Collision,Major Damage,97417,7748,14980,76633,Y
984556,6/7/23 6:43,Multi-vehicle Collision,Side Collision,Total Loss,87738,17727,8839,61238,N
616299,4/12/23 21:28,Single Vehicle Collision,Front Collision,Major Damage,50033,10053,4971,34933,Y
216511,6/14/23 14:16,Single Vehicle Collision,Side Collision,Major Damage,54091,6044,5906,41938,Y
465762,7/29/18 13:24,Multi-vehicle Collision,Side Collision,Total Loss,63651,11462,11123,40037,N
401527,12/2/18 7:23,Multi-vehicle Collision,Front Collision,Major Damage,32412,5322,5344,21410,Y
617077,3/27/16 18:58,Multi-vehicle Collision,Side Collision,Total Loss,54716,6009,0,49509,
868400,3/25/17 1:24,Single Vehicle Collision,Side Collision,Minor Damage,49843,5619,5636,39225,N
350446,9/10/16 15:25,Single Vehicle Collision,Rear Collision,Total Loss,58242,10637,10525,36118,
774169,5/1/24 10:57,Single Vehicle Collision,Rear Collision,Total Loss,45204,5044,4999,34901,N
143891,9/24/16 22:11,Multi-vehicle Collision,Side Collision,Minor Damage,72061,5968,11853,53855,
190733,4/10/24 21:42,Multi-vehicle Collision,Side Collision,Total Loss,67394,11316,11319,45303,N
359694,9/21/23 4:10,Vehicle Theft,?,Trivial Damage,4296,476,475,3316,N
429120,1/18/18 15:02,Parked Car,?,Trivial Damage,5721,1256,629,3706,N
940222,10/15/21 19:05,Multi-vehicle Collision,Front Collision,Minor Damage,74343,6655,13520,54375,N
904578,5/7/18 7:21,Single Vehicle Collision,Front Collision,Total Loss,56034,5650,5628,44530,N
918039,1/25/16 18:52,Multi-vehicle Collision,Front Collision,Minor Damage,74711,6798,13380,53323,
514374,3/10/22 1:13,Single Vehicle Collision,Front Collision,Major Damage,63936,10662,10632,42259,Y
920150,8/23/23 23:00,Multi-vehicle Collision,Rear Collision,Minor Damage,76341,13734,7019,54568,N
990036,4/4/20 8:52,Multi-vehicle Collision,Front Collision,Major Damage,59173,6551,6665,46156,Y
482884,2/4/21 21:42,Multi-vehicle Collision,Rear Collision,Major Damage,78780,14619,14319,50141,N
403499,11/15/19 15:25,Multi-vehicle Collision,Front Collision,Major Damage,32701,5316,5338,20969,Y
310758,6/7/21 12:26,Parked Car,?,Minor Damage,2411,292,299,1788,N
126554,7/25/20 12:48,Single Vehicle Collision,Side Collision,Major Damage,97669,8907,17831,71466,Y
667599,2/27/17 6:45,Multi-vehicle Collision,Front Collision,Minor Damage,79299,7809,15631,54285,N
670549,8/13/17 19:56,Single Vehicle Collision,Rear Collision,Major Damage,64584,6339,6479,50486,Y
900811,7/23/18 23:39,Multi-vehicle Collision,Front Collision,Total Loss,73014,14611,14746,43928,N
979481,11/9/19 17:18,Multi-vehicle Collision,Rear Collision,Major Damage,54959,5473,10963,38125,Y
996526,7/4/17 10:10,Vehicle Theft,?,Trivial Damage,3142,292,577,2285,N
798682,1/12/18 8:33,Vehicle Theft,?,Trivial Damage,4652,852,862,3027,Y
341953,12/25/15 10:28,Single Vehicle Collision,Side Collision,Minor Damage,57215,5658,11022,39503,
353369,12/13/17 9:35,Single Vehicle Collision,Front Collision,Major Damage,91493,13864,13801,63851,N
171941,10/12/22 17:10,Single Vehicle Collision,Side Collision,Minor Damage,59795,9872,10023,39252,N
534365,3/10/22 17:57,Multi-vehicle Collision,Rear Collision,Minor Damage,72754,13134,6647,53026,N
976480,9/4/19 12:53,Single Vehicle Collision,Rear Collision,Major Damage,71881,0,7913,63186,Y
591914,1/15/20 6:04,Multi-vehicle Collision,Side Collision,Major Damage,75218,7364,15063,52618,Y
909470,9/22/20 1:17,Single Vehicle Collision,Side Collision,Total Loss,72409,6690,13260,54008,N
339099,4/5/16 20:19,Vehicle Theft,?,Minor Damage,5140,772,782,3548,
916229,5/13/22 20:11,Multi-vehicle Collision,Rear Collision,Total Loss,19277,4290,2115,12554,N
109778,11/18/22 15:20,Single Vehicle Collision,Front Collision,Minor Damage,56639,11246,11201,34033,N
490289,6/19/21 0:19,Multi-vehicle Collision,Rear Collision,Minor Damage,53530,5917,5849,41201,N
928279,4/20/21 2:23,Multi-vehicle Collision,Rear Collision,Major Damage,63656,5842,11451,45634,Y
